SCHEDA NUMERO,CODICE CLIENTE,EMAIL,USER_ID
001,CLI001,mario.rossi@email.com,8C10D24571B33235081A75B3
002,CLI002,giulia.bianchi@email.com,1396F918D24C4BA92DD07CAD
003,CLI003,luca.verdi@email.com,C85AE2F9CAFAF658A55EB10F
004,CLI004,anna.neri@email.com,9353559F268449D58819513A
005,CLI005,francesco.azzurri@email.com,CAEECCF9B5EB0CE757755008
006,CLI006,marco.gialli@email.com,9462C822673EB4868ED9ECE3
007,CLI007,sofia.viola@email.com,34C127C9CBA91D628FF6BC62
008,CLI008,andrea.marrone@email.com,8CE3A46519CBE2E7D1282AEB
009,CLI009,chiara.rosa@email.com,AAD44DF0C7401A69FA1C5B32
010,CLI010,paolo.arancio@email.com,A5E015E7A6EFCAFB33F4CC13
011,CLI011,roberto.blu@email.com,60014047A01903E75F4CB9D8
012,CLI012,elena.grigio@email.com,322DF711CD46C34856562B32
013,CLI013,davide.nero@email.com,11D681A60F111F53961B1B00
014,CLI014,laura.bianco@email.com,D10F024737655832A37C451A
015,CLI015,michele.verde@email.com,58557C77B6247173A1D10AFF
016,CLI016,sara.rosso@email.com,DCAAC43899884F903AEB49D7
017,CLI017,fabio.giallo@email.com,EDB0CEF080E5608B7D522F54
018,CLI018,valentina.viola@email.com,BA32BE5612EF4AB88B8E127D
019,CLI019,alessandro.marrone@email.com,9BA23B9BAD5A7197CFE18BA0
020,CLI020,claudia.rosa@email.com,AD7C3CBB09E1CF27A4431E1C
